date_takeoff,is_domestic,n
2019-10-06,FALSE,364
2019-10-06,TRUE,1503
2019-10-07,FALSE,346
2019-10-07,TRUE,1864
2019-10-08,FALSE,341
2019-10-08,TRUE,1870
2019-10-09,FALSE,328
2019-10-09,TRUE,1824
2019-10-10,FALSE,354
2019-10-10,TRUE,1899
2019-10-11,FALSE,368
2019-10-11,TRUE,1965
2019-10-12,FALSE,340
2019-10-12,TRUE,1626
2019-10-13,FALSE,381
2019-10-13,TRUE,1519
2019-10-14,FALSE,357
2019-10-14,TRUE,1886
2019-10-15,FALSE,348
2019-10-15,TRUE,1859
2019-10-16,FALSE,347
2019-10-16,TRUE,1867
2019-10-17,FALSE,340
2019-10-17,TRUE,1915
2019-10-18,FALSE,354
2019-10-18,TRUE,1954
2019-10-19,FALSE,366
2019-10-19,TRUE,1615
2019-10-20,FALSE,365
2019-10-20,TRUE,1515
2019-10-21,FALSE,349
2019-10-21,TRUE,1871
2019-10-22,FALSE,344
2019-10-22,TRUE,1873
2019-10-23,FALSE,341
2019-10-23,TRUE,1912
2019-10-24,FALSE,345
2019-10-24,TRUE,1995
2019-10-25,FALSE,371
2019-10-25,TRUE,1959
2019-10-26,FALSE,363
2019-10-26,TRUE,1652
2019-10-27,FALSE,386
2019-10-27,TRUE,1588
2019-10-28,FALSE,350
2019-10-28,TRUE,1839
2019-10-29,FALSE,343
2019-10-29,TRUE,1857
2019-10-30,FALSE,343
2019-10-30,TRUE,1960
2019-10-31,FALSE,358
2019-10-31,TRUE,1969
2019-11-01,FALSE,362
2019-11-01,TRUE,1971
2019-11-02,FALSE,340
2019-11-02,TRUE,1631
2019-11-03,FALSE,375
2019-11-03,TRUE,1591
2019-11-04,FALSE,361
2019-11-04,TRUE,1944
2019-11-05,FALSE,344
2019-11-05,TRUE,1911
2019-11-06,FALSE,337
2019-11-06,TRUE,2051
2019-11-07,FALSE,336
2019-11-07,TRUE,1984
2019-11-08,FALSE,339
2019-11-08,TRUE,2013
2019-11-09,FALSE,352
2019-11-09,TRUE,1711
2019-11-10,FALSE,361
2019-11-10,TRUE,1619
2019-11-11,FALSE,349
2019-11-11,TRUE,1975
2019-11-12,FALSE,349
2019-11-12,TRUE,1988
2019-11-13,FALSE,354
2019-11-13,TRUE,2012
2019-11-14,FALSE,384
2019-11-14,TRUE,2090
2019-11-15,FALSE,358
2019-11-15,TRUE,1910
2019-11-16,FALSE,360
2019-11-16,TRUE,1425
2019-11-17,FALSE,391
2019-11-17,TRUE,1674
2019-11-18,FALSE,367
2019-11-18,TRUE,1877
2019-11-19,FALSE,345
2019-11-19,TRUE,1799
2019-11-20,FALSE,344
2019-11-20,TRUE,1977
2019-11-21,FALSE,361
2019-11-21,TRUE,1945
2019-11-22,FALSE,385
2019-11-22,TRUE,1931
2019-11-23,FALSE,380
2019-11-23,TRUE,1723
2019-11-24,FALSE,403
2019-11-24,TRUE,1640
2019-11-25,FALSE,361
2019-11-25,TRUE,1946
2019-11-26,FALSE,358
2019-11-26,TRUE,2012
2019-11-27,FALSE,341
2019-11-27,TRUE,1974
2019-11-28,FALSE,351
2019-11-28,TRUE,2034
2019-11-29,FALSE,364
2019-11-29,TRUE,2184
2019-11-30,FALSE,387
2019-11-30,TRUE,1801
2019-12-01,FALSE,400
2019-12-01,TRUE,1670
2019-12-02,FALSE,397
2019-12-02,TRUE,2052
2019-12-03,FALSE,382
2019-12-03,TRUE,2056
2019-12-04,FALSE,373
2019-12-04,TRUE,2054
2019-12-05,FALSE,403
2019-12-05,TRUE,2011
2019-12-06,FALSE,397
2019-12-06,TRUE,2120
2019-12-07,FALSE,418
2019-12-07,TRUE,1838
2019-12-08,FALSE,402
2019-12-08,TRUE,1758
2019-12-09,FALSE,413
2019-12-09,TRUE,2045
2019-12-10,FALSE,377
2019-12-10,TRUE,2054
2019-12-11,FALSE,371
2019-12-11,TRUE,2067
2019-12-12,FALSE,418
2019-12-12,TRUE,2140
2019-12-13,FALSE,424
2019-12-13,TRUE,2129
2019-12-14,FALSE,429
2019-12-14,TRUE,1826
2019-12-15,FALSE,417
2019-12-15,TRUE,1827
2019-12-16,FALSE,413
2019-12-16,TRUE,2135
2019-12-17,FALSE,413
2019-12-17,TRUE,2063
2019-12-18,FALSE,397
2019-12-18,TRUE,2141
2019-12-19,FALSE,417
2019-12-19,TRUE,2194
2019-12-20,FALSE,428
2019-12-20,TRUE,2225
2019-12-21,FALSE,462
2019-12-21,TRUE,1933
2019-12-22,FALSE,443
2019-12-22,TRUE,1777
2019-12-23,FALSE,428
2019-12-23,TRUE,2031
2019-12-24,FALSE,380
2019-12-24,TRUE,1822
2019-12-25,FALSE,341
2019-12-25,TRUE,1456
2019-12-26,FALSE,439
2019-12-26,TRUE,2079
2019-12-27,FALSE,451
2019-12-27,TRUE,2146
2019-12-28,FALSE,430
2019-12-28,TRUE,1916
2019-12-29,FALSE,415
2019-12-29,TRUE,1747
2019-12-30,FALSE,420
2019-12-30,TRUE,1960
2019-12-31,FALSE,381
2019-12-31,TRUE,1758
2020-01-01,FALSE,359
2020-01-01,TRUE,1453
2020-01-02,FALSE,438
2020-01-02,TRUE,1980
2020-01-03,FALSE,460
2020-01-03,TRUE,2040
2020-01-04,FALSE,458
2020-01-04,TRUE,1816
2020-01-05,FALSE,463
2020-01-05,TRUE,1843
2020-01-06,FALSE,463
2020-01-06,TRUE,2100
2020-01-07,FALSE,413
2020-01-07,TRUE,2062
2020-01-08,FALSE,301
2020-01-08,TRUE,1003
2020-01-09,FALSE,425
2020-01-09,TRUE,1914
2020-01-10,FALSE,447
2020-01-10,TRUE,2198
2020-01-11,FALSE,453
2020-01-11,TRUE,1809
2020-01-12,FALSE,467
2020-01-12,TRUE,1827
2020-01-13,FALSE,437
2020-01-13,TRUE,2078
2020-01-14,FALSE,446
2020-01-14,TRUE,2125
2020-01-15,FALSE,414
2020-01-15,TRUE,2138
2020-01-16,FALSE,431
2020-01-16,TRUE,2117
2020-01-17,FALSE,436
2020-01-17,TRUE,2110
2020-01-18,FALSE,447
2020-01-18,TRUE,1818
2020-01-19,FALSE,458
2020-01-19,TRUE,1781
2020-01-20,FALSE,452
2020-01-20,TRUE,2074
2020-01-21,FALSE,428
2020-01-21,TRUE,2098
2020-01-22,FALSE,406
2020-01-22,TRUE,2096
2020-01-23,FALSE,424
2020-01-23,TRUE,2104
2020-01-24,FALSE,457
2020-01-24,TRUE,2112
2020-01-25,FALSE,455
2020-01-25,TRUE,1853
2020-01-26,FALSE,451
2020-01-26,TRUE,1821
2020-01-27,FALSE,447
2020-01-27,TRUE,2084
2020-01-28,FALSE,456
2020-01-28,TRUE,2127
2020-01-29,FALSE,427
2020-01-29,TRUE,2122
2020-01-30,FALSE,434
2020-01-30,TRUE,2093
2020-01-31,FALSE,467
2020-01-31,TRUE,2123
2020-02-01,FALSE,428
2020-02-01,TRUE,1743
2020-02-02,FALSE,458
2020-02-02,TRUE,1751
2020-02-03,FALSE,425
2020-02-03,TRUE,2054
2020-02-04,FALSE,411
2020-02-04,TRUE,2076
2020-02-05,FALSE,386
2020-02-05,TRUE,1990
2020-02-06,FALSE,421
2020-02-06,TRUE,2128
2020-02-07,FALSE,440
2020-02-07,TRUE,2131
2020-02-08,FALSE,431
2020-02-08,TRUE,1775
2020-02-09,FALSE,437
2020-02-09,TRUE,1782
2020-02-10,FALSE,399
2020-02-10,TRUE,1886
2020-02-11,FALSE,397
2020-02-11,TRUE,2000
2020-02-12,FALSE,394
2020-02-12,TRUE,2097
2020-02-13,FALSE,425
2020-02-13,TRUE,2143
2020-02-14,FALSE,444
2020-02-14,TRUE,2142
2020-02-15,FALSE,433
2020-02-15,TRUE,1753
2020-02-16,FALSE,445
2020-02-16,TRUE,1775
2020-02-17,FALSE,412
2020-02-17,TRUE,2093
2020-02-18,FALSE,389
2020-02-18,TRUE,2089
2020-02-19,FALSE,422
2020-02-19,TRUE,2146
2020-02-20,FALSE,464
2020-02-20,TRUE,2221
2020-02-21,FALSE,480
2020-02-21,TRUE,2237
2020-02-22,FALSE,474
2020-02-22,TRUE,1874
2020-02-23,FALSE,402
2020-02-23,TRUE,1212
2020-02-24,FALSE,399
2020-02-24,TRUE,1263
2020-02-25,FALSE,396
2020-02-25,TRUE,1518
2020-02-26,FALSE,416
2020-02-26,TRUE,2039
2020-02-27,FALSE,438
2020-02-27,TRUE,1934
2020-02-28,FALSE,453
2020-02-28,TRUE,1878
2020-02-29,FALSE,455
2020-02-29,TRUE,1651
2020-03-01,FALSE,492
2020-03-01,TRUE,1723
2020-03-02,FALSE,457
2020-03-02,TRUE,2034
2020-03-03,FALSE,405
2020-03-03,TRUE,2083
2020-03-04,FALSE,391
2020-03-04,TRUE,2043
2020-03-05,FALSE,451
2020-03-05,TRUE,2122
2020-03-06,FALSE,413
2020-03-06,TRUE,2148
2020-03-07,FALSE,417
2020-03-07,TRUE,1751
2020-03-08,FALSE,432
2020-03-08,TRUE,1795
2020-03-09,FALSE,412
2020-03-09,TRUE,2076
2020-03-10,FALSE,400
2020-03-10,TRUE,2077
2020-03-11,FALSE,387
2020-03-11,TRUE,2125
2020-03-12,FALSE,432
2020-03-12,TRUE,2128
2020-03-13,FALSE,421
2020-03-13,TRUE,2162
2020-03-14,FALSE,399
2020-03-14,TRUE,1797
2020-03-15,FALSE,411
2020-03-15,TRUE,1730
2020-03-16,FALSE,384
2020-03-16,TRUE,1882
2020-03-17,FALSE,359
2020-03-17,TRUE,1796
2020-03-18,FALSE,307
2020-03-18,TRUE,1512
2020-03-19,FALSE,305
2020-03-19,TRUE,1523
2020-03-20,FALSE,295
2020-03-20,TRUE,1466
2020-03-21,FALSE,245
2020-03-21,TRUE,1234
2020-03-22,FALSE,212
2020-03-22,TRUE,873
2020-03-23,FALSE,148
2020-03-23,TRUE,830
2020-03-24,FALSE,120
2020-03-24,TRUE,561
2020-03-25,FALSE,109
2020-03-25,TRUE,412
2020-03-26,FALSE,105
2020-03-26,TRUE,401
2020-03-27,FALSE,97
2020-03-27,TRUE,429
2020-03-28,FALSE,84
2020-03-28,TRUE,227
2020-03-29,FALSE,67
2020-03-29,TRUE,186
2020-03-30,FALSE,76
2020-03-30,TRUE,260
2020-03-31,FALSE,72
2020-03-31,TRUE,293
2020-04-01,FALSE,67
2020-04-01,TRUE,273
2020-04-02,FALSE,64
2020-04-02,TRUE,262
2020-04-03,FALSE,60
2020-04-03,TRUE,274
2020-04-04,FALSE,48
2020-04-04,TRUE,155
2020-04-05,FALSE,48
2020-04-05,TRUE,178
2020-04-06,FALSE,52
2020-04-06,TRUE,267
2020-04-07,FALSE,55
2020-04-07,TRUE,252
2020-04-08,FALSE,62
2020-04-08,TRUE,282
2020-04-09,FALSE,75
2020-04-09,TRUE,298
2020-04-10,FALSE,42
2020-04-10,TRUE,217
2020-04-11,FALSE,53
2020-04-11,TRUE,134
2020-04-12,FALSE,40
2020-04-12,TRUE,139
2020-04-13,FALSE,54
2020-04-13,TRUE,253
2020-04-14,FALSE,51
2020-04-14,TRUE,248
2020-04-15,FALSE,48
2020-04-15,TRUE,253
2020-04-16,FALSE,41
2020-04-16,TRUE,152
2020-04-17,FALSE,30
2020-04-17,TRUE,155
2020-04-18,FALSE,32
2020-04-18,TRUE,99
2020-04-19,FALSE,44
2020-04-19,TRUE,89
2020-04-20,FALSE,52
2020-04-20,TRUE,192
2020-04-21,FALSE,54
2020-04-21,TRUE,206
2020-04-22,FALSE,61
2020-04-22,TRUE,265
2020-04-23,FALSE,69
2020-04-23,TRUE,264
2020-04-24,FALSE,60
2020-04-24,TRUE,281
2020-04-25,FALSE,50
2020-04-25,TRUE,149
2020-04-26,FALSE,54
2020-04-26,TRUE,158
2020-04-27,FALSE,71
